date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude,dist
October-31-2022,singlefamily,319 Washington St,Cambridge,2139,1235000,4,2,Cambridge,1814,2305,1828,NA,https://www.redfin.com/MA/Cambridge/319-Washington-St-02139/home/11555896,73033194,42.3653911,-71.0983667,1.927373885
September-11-2023,singlefamily,97 Winter St,Cambridge,2141,675000,2,1,East Cambridge,1020,1650,1840,NA,https://www.redfin.com/MA/Cambridge/97-Winter-St-02141/home/11551875,73141002,42.3729073,-71.0824969,3.002987005
April-6-2023,singlefamily,99 Garden St,Cambridge,2138,2900000,2,2.5,Cambridge,2050,5265,1842,NA,https://www.redfin.com/MA/Cambridge/99-Garden-St-02138/home/11584774,73085533,42.3838284,-71.1285781,1.384491489
April-25-2023,condo,100 Otis St Unit 2 PH,Cambridge,2141,1365000,2,2,East Cambridge,1424,NA,1849,200,https://www.redfin.com/MA/Cambridge/100-Otis-St-02141/unit-2-PH/home/184690197,73086793,42.3704989,-71.0826249,3.011379876
September-5-2023,condo,24 Kensington Ave #1,Somerville,2145,960000,4,3,East Somerville,1784,NA,1850,279,https://www.redfin.com/MA/Somerville/24-Kensington-Ave-02145/unit-1/home/180003330,73131954,42.3902816,-71.086802,3.233896686
December-13-2022,singlefamily,8 Foster Pl,Cambridge,2138,2000000,2,2.5,Cambridge,1433,2099,1854,NA,https://www.redfin.com/MA/Cambridge/8-Foster-Pl-02138/home/11587185,73047133,42.3762893,-71.1292591,0.895220763
July-14-2023,condo,184-186 Otis St #1,Cambridge,2141,760000,2,2,East Cambridge,1202,NA,1854,167,https://www.redfin.com/MA/Cambridge/184-186-Otis-St-02141/unit-1/home/11597904,73122519,42.370999,-71.0868179,2.662470707
June-12-2023,townhouse,74 Amory St #74,Cambridge,2139,1500000,2,2,Mid Cambridge,1484,NA,1854,375,https://www.redfin.com/MA/Cambridge/74-Amory-St-02139/unit-74/home/21925063,73102352,42.3710785,-71.1009299,1.512373763
June-22-2023,condo,149 Cherry St #1,Cambridge,2139,800000,2,1,Kendall Square,904,NA,1854,150,https://www.redfin.com/MA/Cambridge/149-Cherry-St-02139/unit-1/home/39658875,73106650,42.3659515,-71.0968599,2.010118047
June-30-2023,condo,327-329 Hurley St #2,Cambridge,2141,1180800,3,2.5,Cambridge,1303,NA,1854,250,https://www.redfin.com/MA/Cambridge/327-329-Hurley-St-02141/unit-2/home/113814613,73118271,42.3689159,-71.0847387,2.865562284
June-5-2023,singlefamily,82 Fifth St,Cambridge,2141,1160000,2,2,East Cambridge,1462,1048,1854,NA,https://www.redfin.com/MA/Cambridge/82-5th-St-02141/Rear/home/135117560,73100828,42.3703966,-71.0830062,2.981573219
November-15-2022,multifamily,127 Western Ave,Cambridge,2139,2300000,6,3,Riverside,6115,5089,1854,NA,https://www.redfin.com/MA/Cambridge/127-Western-Ave-02139/home/11568236,73026996,42.3651718,-71.1083502,1.28352733
October-13-2022,multifamily,35 Market St,Cambridge,2139,1600000,3,4,Area 4-The Port,2627,3060,1854,NA,https://www.redfin.com/MA/Cambridge/35-Market-St-02139/home/11556169,73021743,42.3683745,-71.0958547,1.990424241
January-5-2023,singlefamily,49 Dana St,Cambridge,2138,2405000,5,4.5,Mid-Cambridge,3312,4968,1859,NA,https://www.redfin.com/MA/Cambridge/49-Dana-St-02138/home/11571347,73047105,42.3722017,-71.1089458,0.841381026
April-13-2023,singlefamily,197 Morrison Ave,Somerville,2144,1730000,2,1.5,Davis Square,1889,5763,1860,NA,https://www.redfin.com/MA/Somerville/197-Morrison-Ave-02144/home/8743035,73087289,42.3975629,-71.1192774,2.667635337
February-15-2023,condo,28 River St #2,Cambridge,2139,849000,2,1,Cambridge,937,NA,1860,212,https://www.redfin.com/MA/Cambridge/28-River-St-02139/unit-2/home/17246377,73069858,42.3646909,-71.1058329,1.468438257
February-17-2023,condo,18 Whitney Ave #1,Cambridge,2139,573000,1,1,Cambridgeport,866,NA,1860,248,https://www.redfin.com/MA/Cambridge/18-Whitney-Ave-02139/unit-1/home/11377336,73067006,42.3593916,-71.1123419,1.673789428
June-8-2023,singlefamily,42 Spring St,Somerville,2143,1930000,3,1.5,Spring Hill,2333,8276,1860,NA,https://www.redfin.com/MA/Somerville/42-Spring-St-02143/home/11795575,73106959,42.3860982,-71.1088097,1.62415184
September-21-2023,condo,28 River #3,Cambridge,2139,864500,2,1,Central Square,832,NA,1860,212,https://www.redfin.com/MA/Cambridge/28-River-St-02139/unit-3/home/28439597,73143185,42.3646909,-71.1058329,1.468438257
