program,python_experience,pandas_skill,os,hw0,env,dark_mode,languages,dob,waketime,sleep,favorite_movie,movie_genres,hobbies,num_languages,age
bachelor's (cs),2-4 years,1.0,MacOS,😎,mamba/micromamba,True,"english, spanish, french, portuguese",2003-06-19,1900-01-01 07:30:00,7,parasite,"action, comedy, drama, mystery/thriller","soccer, chess, sleeping",4,21.0
bachelor's (am),1-2 years,3.0,MacOS,😎,mamba/micromamba,False,"mandarin, cantonese, english",2003-01-20,1900-01-01 10:00:00,6,avengers: infinity war,"action, comedy, drama, sci-fi, fantasy, romance",,3,21.0
bachelor's (statistics),2-4 years,3.0,MacOS,😎,mamba/micromamba,False,english,2002-07-02,1900-01-01 06:30:00,6,parental guidance,"action, comedy, drama, mystery/thriller, romance","watching sports, playing music, eating",1,22.0
ms/mba,1-2 years,2.0,MacOS,😎,mamba/micromamba,True,english,1992-09-06,1900-01-01 06:45:00,7,lord of the rings,"action, drama, sci-fi, documentary","tennis, golf, sailing",1,32.0
bachelor's (am),Less than 1 year,2.0,MacOS,😱,mamba/micromamba,False,"english, spanish",2002-07-11,1900-01-01 09:00:00,6.5,the truman show,"action, comedy, sci-fi","music, swimming, writing",2,22.0
master's (cse),4+ years,4.0,MacOS,😎,mamba/micromamba,True,"mandarin, english, spanish",2002-04-28,1900-01-01 08:30:00,8,interstellar,"action, comedy, sci-fi, fantasy, mystery/thriller, romance","dancing, swimming, bird watching",3,22.0
extension data science grad cert,1-2 years,2.0,MacOS,🧐,conda,False,"french, english, russian, german",1995-06-04,1900-01-01 06:45:00,8,la haine,"comedy, drama, romance, documentary","running, reading, climbing ",4,29.0
bachelor's (neuroscience),Less than 1 year,1.0,MacOS,😅,i don't have a working local environment yet,True,"english, french, bengali, korean, asl",2003-05-21,1900-01-01 05:00:00,8,silence of the lambs,"action, mystery/thriller, documentary","learning languages, breeding fish, baking, hot yoga",5,21.0
ms/mba,4+ years,3.0,Linux,🧐,other,True,english ,1998-03-18,1900-01-01 08:30:00,7,the terminal ,"action, comedy",film,1,26.0
bachelor's (statistics),1-2 years,3.0,MacOS,🧐,mamba/micromamba,False,"english, spanish",2004-03-05,1900-01-01 08:00:00,7,,,,2,20.0
bachelor's (am),1-2 years,2.0,MacOS,🧐,mamba/micromamba,False,engish,2003-04-24,1900-01-01 07:00:00,8.5,,"action, comedy, mystery/thriller, documentary","running, hiking, watching sports",1,21.0
master's (ds),2-4 years,2.0,MacOS,😎,mamba/micromamba,True,"english, french",2001-10-31,1900-01-01 09:00:00,9,catch me if you can,"action, comedy, sci-fi","playing the piano, doing sports, eating",2,22.0
master's (ds),Less than 1 year,2.0,MacOS,😱,mamba/micromamba,False,"chinese, cantonese",2001-01-31,1900-01-01 06:30:00,7,flipped,"action, comedy, fantasy","jigsaw puzzle, watch talk show, travel",2,23.0
master's (ds),2-4 years,4.0,MacOS,🍰,mamba/micromamba,False,"english, romanian",2001-09-15,1900-01-01 08:00:00,8,,"comedy, drama, mystery/thriller, romance","traveling, skiing, snorkeling",2,22.0
mpa/id,Less than 1 year,1.0,MacOS,😅,mamba/micromamba,True,"english, tagalog, spanish, french, mandarin",1992-12-19,1900-01-01 07:30:00,5,le premier jour du reste de ta vie,"comedy, drama, fantasy, romance","swimming, learning languages, tennis, cities:skylines, coffee",5,31.0
master's (ds),2-4 years,4.0,MacOS,😎,mamba/micromamba,True,french german spanish chinese english,2004-10-02,1900-01-01 08:00:00,9,love actually,"comedy, drama, romance","scrapbooking, music (listening/playing) and watching netflix",1,19.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,True,"hebrew, english, arabic",1998-12-01,1900-01-01 07:45:00,8,inglourious basterds,"action, comedy, documentary","backpacking, snowboarding, soccer",3,25.0
mpa,Less than 1 year,2.0,Windows,😅,mamba/micromamba,False,"chinese, english",1996-01-30,1900-01-01 08:00:00,7.8,titatic,sci-fi,"hiking, jogging, networking",2,28.0
bachelor's (cs),2-4 years,3.0,MacOS,😎,mamba/micromamba,False,"english, shanghainese, mandarin, spanish",2003-06-02,1900-01-01 08:00:00,7,parasite,"action, drama, romance","piano, speedcubing, tennis",4,21.0
bachelor's (cs),1-2 years,3.0,MacOS,🧐,mamba/micromamba,True,"english, spanish, chinese",2005-01-10,1900-01-01 08:55:00,7,the karate kid,,"playing soccer, throwing cards, eating",3,19.0
