year,sex,position_title,position_type,service_end_date,days_employed,pay_total,annual_rate,location,contract,bargaining_group_num,bargaining_group_title
2018,male,Plumber & Steamfitter I,Full Time Employee,1/6/18 0:00,15,68.91,52520.52,U Mass Dartmouth,AFT Massachusetts Maintainers (D83),D83,AFT Massachusetts Maintainers
2018,male,Director Counseling Center,Full Time Employee,1/6/18 0:00,15,114.56,100000.004,U Mass Dartmouth,ESU Professional Local 1895 (D85),D85,ESU Professional Local 1895
2018,male,Skilled Laborer I,Full Time Employee,12/8/18 0:00,351,162.4,46628.66,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,female,Administrative Assistant I,Full Time Employee,12/8/18 0:00,351,176.04,61119.748,U Mass Dartmouth,AFSCME Local 507 (D82),D82,AFSCME Local 507
2018,female,Librarian I,Full Time Employee,12/8/18 0:00,351,203.76,64989.6,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Administrative Assistant II,Full Time Employee,12/8/18 0:00,351,207.9,68577.34,U Mass Dartmouth,AFSCME Local 507 (D82),D82,AFSCME Local 507
2018,male,Technical Assistant III (Educ),Full Time Employee,12/8/18 0:00,351,227.15,61120.8,U Mass Amherst,MTA/NEA USA Classified (A08),A08,MTA/NEA USA Classified
2018,female,Asst Professor U of M,Full Time Employee,12/8/18 0:00,351,268.39,92622.66,U Mass Amherst,MTA/NEA MSP Faculty (A50),A50,MTA/NEA MSP Faculty
2018,female,Maintainer I,Full Time Employee,12/8/18 0:00,351,312.33,44653.44,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Maintainer I,Full Time Employee,12/8/18 0:00,351,355.67,44653.44,U Mass Amherst,AFSCME Local 1776 (A01),A01,AFSCME Local 1776
2018,male,Co-Generation Eng II Oper,Full Time Employee,3/17/18 0:00,85,389.02,95721.6,U Mass Worcester,AFSCME Trades and Building Svc (W20),W20,AFSCME Trades and Building Svc
2018,female,Asst VC for Budget & Fin Plng,Full Time Employee,12/8/18 0:00,351,404.23,172895.594,U Mass Boston,Non-Unit Professional (B43),B43,Non-Unit Professional
2018,female,Associate Professor,Full Time Employee,12/8/18 0:00,351,405.86,124156.042,U Mass Lowell,MTA/NEA  MSP/UML Faculty (L90),L90,MTA/NEA  MSP/UML Faculty
